ID,Username,"Total Amount",Status,"Payment Method","Created At"
1,Drishyajose,10100.00,,upi,"2025-02-23 12:32:01"
2,Drishyajose,13630.00,cancelled,upi,"2025-02-24 06:52:01"
13,Drishyajose,23040.00,,upi,"2025-02-24 15:55:42"
14,Drishyajose,21000.00,,upi,"2025-02-24 16:24:53"
15,Drishyajose,13630.00,pending,upi,"2025-02-25 11:13:51"
16,abeymathew,13630.00,,upi,"2025-02-25 11:25:53"
17,Drishyajose,13630.00,pending,upi,"2025-02-25 11:57:10"
18,Kalyanysnair,10100.00,,upi,"2025-02-25 13:38:50"
20,Drishyajose,16090.00,,upi,"2025-02-25 16:28:57"
21,Drishyajose,13630.00,pending,upi,"2025-02-27 16:29:11"
22,Drishyajose,13630.00,pending,upi,"2025-02-28 13:52:59"
23,Drishyajose,13630.00,pending,upi,"2025-03-01 19:02:55"
24,Drishyajose,13630.00,pending,upi,"2025-03-01 19:04:55"
25,Drishyajose,13630.00,pending,upi,"2025-03-01 19:07:56"
26,Drishyajose,13630.00,pending,cod,"2025-03-01 19:21:30"
27,Drishyajose,13630.00,pending,upi,"2025-03-01 19:37:12"
28,Drishyajose,0.00,pending,upi,"2025-03-01 19:40:10"
29,Drishyajose,16090.00,pending,upi,"2025-03-02 08:56:29"
30,Drishyajose,21000.00,pending,upi,"2025-03-02 09:00:36"
31,Drishyajose,13630.00,,upi,"2025-03-09 18:31:15"
32,Drishyajose,13630.00,pending,cod,"2025-03-09 18:36:50"
33,Drishyajose,0.00,,cod,"2025-03-09 18:37:12"
34,Drishyajose,0.00,,cod,"2025-03-09 18:37:21"
35,Drishyajose,13630.00,,upi,"2025-03-10 13:24:49"
36,Drishyajose,13630.00,,upi,"2025-03-10 13:42:33"
37,Drishyajose,0.00,pending,upi,"2025-03-10 13:51:44"
38,Drishyajose,10100.00,shipped,upi,"2025-03-10 13:53:07"
39,Drishyajose,10100.00,pending,upi,"2025-03-10 14:18:01"
40,Drishyajose,13630.00,cancelled,upi,"2025-03-10 15:02:36"
41,Drishyajose,13630.00,cancelled,upi,"2025-03-11 19:25:44"
42,Drishyajose,0.00,,upi,"2025-03-11 19:27:33"
43,Drishyajose,21000.00,shipped,upi,"2025-03-12 14:33:53"
44,Drishyajose,13630.00,,razorpay,"2025-03-15 18:04:10"
45,Drishyajose,0.00,shipped,razorpay,"2025-03-15 18:08:16"
46,Drishyajose,0.00,shipped,razorpay,"2025-03-15 18:10:33"
47,Drishyajose,13630.00,shipped,razorpay,"2025-03-16 13:02:06"
48,Drishyajose,13630.00,,razorpay,"2025-03-17 13:27:53"
49,Drishyajose,0.00,,razorpay,"2025-03-17 13:28:49"
50,Drishyajose,13630.00,processing,razorpay,"2025-03-17 13:29:45"
51,Drishyajose,13630.00,pending,razorpay,"2025-03-17 14:30:24"
52,Drishyajose,13630.00,confirmed,razorpay,"2025-03-17 14:38:48"
53,Drishyajose,0.00,confirmed,razorpay,"2025-03-17 14:39:48"
54,Drishyajose,13630.00,confirmed,razorpay,"2025-03-17 14:45:30"
55,Drishyajose,13630.00,confirmed,razorpay,"2025-03-17 14:55:56"
56,Drishyajose,23040.00,confirmed,razorpay,"2025-03-17 15:00:22"
57,Drishyajose,0.00,confirmed,razorpay,"2025-03-17 15:03:46"
58,Drishyajose,0.00,confirmed,razorpay,"2025-03-17 15:05:30"
59,Drishyajose,13630.00,confirmed,razorpay,"2025-03-17 15:10:11"
60,Drishyajose,0.00,confirmed,razorpay,"2025-03-17 15:12:50"
61,Drishyajose,21000.00,confirmed,razorpay,"2025-03-17 15:21:51"
62,Drishyajose,10100.00,confirmed,razorpay,"2025-03-17 15:26:38"
63,Drishyajose,16090.00,confirmed,razorpay,"2025-03-17 15:37:45"
64,Drishyajose,13630.00,confirmed,razorpay,"2025-03-18 20:26:14"
65,Drishyajose,0.00,confirmed,razorpay,"2025-03-18 20:29:32"
